experiment,accuracy,f1
3_open_ai_test_4o-mini,0.7114020731042008,0.8313675486133248
4_open_ai_test_4o,0.7877795962902346,0.8812938663411657
6_open_ai_test-o3-mini,0.7637752318603382,0.8660686668728735
7_open_ai_test_ft_4o_mini,0.9345335515548282,0.9661590524534687
gemma3_12b_it_baseline_v2,0.762684124386252,0.8653667595171773
gemma3_1b_it_baseline,0.0,0.0
gemma3_27b_it_baseline_v2,0.8199672667757774,0.9010791366906474
llama_3.1_8b_baseline,0.7354064375340971,0.8475322225715184
llama_3.2_3B_ft_unsloth_2025-04-13_17-52-07,0.7228587015821059,0.8391386953768207
llama_3.2_3b_baseline,0.5422804146208402,0.7032189600282985
open_ai_test_gpt-4.1-2025-04-14,0.7545008183306056,0.8600746268656716
open_ai_test_gpt-4.1-nano,0.6590289143480633,0.7944755014797764
open_ai_test_gpt4.1mini,0.6966721222040371,0.8212218649517685
phi4_4b_baseline_unsloth,0.7474086197490453,0.8554480174836091
phi4_4b_finetune_unsloth,0.7855973813420621,0.8799266727772685
