"Relative Time (Process)","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.0.powerWatts","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.0.powerWatts__MIN","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.0.powerWatts__MAX","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.1.powerWatts","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.1.powerWatts__MIN","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.1.powerWatts__MAX","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.2.powerWatts","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.2.powerWatts__MIN","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.2.powerWatts__MAX","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.3.powerWatts","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.3.powerWatts__MIN","tjsp2024_2025_llama3.2-3B-ft-inference_2025-04-26_13-47-22 - system/gpu.3.powerWatts__MAX"
"15.603211663","66.443","66.443","66.443","71.689","71.689","71.689","71.27","71.27","71.27","171.503","171.503","171.503"
"31.815948474","51.313","51.313","51.313","70.458","70.458","70.458","77.665","77.665","77.665","198.65","198.65","198.65"
"45.567282144","71.66","71.66","71.66","73.247","73.247","73.247","70.037","70.037","70.037","178.074","178.074","178.074"
"61.495244965","67.092","67.092","67.092","69.107","69.107","69.107","68.733","68.733","68.733","164.25","164.25","164.25"
"75.566789986","70.196","70.196","70.196","74.09","74.09","74.09","71.187","71.187","71.187","192.51","192.51","192.51"
"91.010215477","66.741","66.741","66.741","68.512","68.512","68.512","60.188","60.188","60.188","196.762","196.762","196.762"
"105.572616918","49.302","49.302","49.302","49.055","49.055","49.055","71.284","71.284","71.284","195.69","195.69","195.69"
"120.56766283","67.794","67.794","67.794","70.458","70.458","70.458","71.879","71.879","71.879","156.886","156.886","156.886"
"136.474737793","69.096","69.096","69.096","55.331","55.331","55.331","70.291","70.291","70.291","163.668","163.668","163.668"
"150.570430354","68.404","68.404","68.404","73.897","73.897","73.897","72.537","72.537","72.537","209.527","209.527","209.527"
"165.972672139","66.631","66.631","66.631","73.283","73.283","73.283","50.977","50.977","50.977","205.99","205.99","205.99"
"180.907879374","67.231","67.231","67.231","62.114","62.114","62.114","59.596","59.596","59.596","184.159","184.159","184.159"
"196.565093956","58.389","58.389","58.389","62.52","62.52","62.52","59.897","59.897","59.897","205.473","205.473","205.473"
"210.562670263","57.982","57.982","57.982","62.114","62.114","62.114","59.402","59.402","59.402","162.674","162.674","162.674"
"225.56124866","58.21","58.21","58.21","62.229","62.229","62.229","59.418","59.418","59.418","210.556","210.556","210.556"
"240.907442825","58.096","58.096","58.096","62.005","62.005","62.005","59.493","59.493","59.493","88.307","88.307","88.307"
"256.353351222","58.291","58.291","58.291","62.308","62.308","62.308","59.418","59.418","59.418","170.566","170.566","170.566"
"270.561990508","57.982","57.982","57.982","62.114","62.114","62.114","59.202","59.202","59.202","240.881","240.881","240.881"
"285.561795725","57.982","57.982","57.982","61.926","61.926","61.926","59.105","59.105","59.105","239.242","239.242","239.242"
"300.72563836","57.983","57.983","57.983","61.938","61.938","61.938","59.008","59.008","59.008","250.204","250.204","250.204"
"316.294843951","57.987","57.987","57.987","62.108","62.108","62.108","59.008","59.008","59.008","225.426","225.426","225.426"
"330.563349676","57.902","57.902","57.902","61.829","61.829","61.829","59.094","59.094","59.094","216.246","216.246","216.246"
"345.559970983","57.113","57.113","57.113","61.829","61.829","61.829","58.917","58.917","58.917","186.259","186.259","186.259"
"360.653752331","57.885","57.885","57.885","61.811","61.811","61.811","58.797","58.797","58.797","232.127","232.127","232.127"
"376.240648635","57.983","57.983","57.983","62.114","62.114","62.114","59.202","59.202","59.202","236.146","236.146","236.146"
"390.564690029","57.885","57.885","57.885","61.732","61.732","61.732","58.813","58.813","58.813","220.198","220.198","220.198"
"405.56248156","57.712","57.712","57.712","61.732","61.732","61.732","58.738","58.738","58.738","183.987","183.987","183.987"
"420.651329869","58.004","58.004","58.004","61.617","61.617","61.617","59.024","59.024","59.024","182.881","182.881","182.881"
"436.106289318","58.004","58.004","58.004","61.731","61.731","61.731","59.224","59.224","59.224","189.417","189.417","189.417"
"450.562013941","57.999","57.999","57.999","61.536","61.536","61.536","58.71","58.71","58.71","286.38","286.38","286.38"
"465.559977314","58.004","58.004","58.004","61.732","61.732","61.732","58.722","58.722","58.722","160.63","160.63","160.63"
"480.559038396","57.788","57.788","57.788","61.634","61.634","61.634","58.814","58.814","58.814","234.869","234.869","234.869"
"495.786908374","57.696","57.696","57.696","61.537","61.537","61.537","58.717","58.717","58.717","234.566","234.566","234.566"
"511.410549089","57.987","57.987","57.987","61.829","61.829","61.829","59.208","59.208","59.208","223.606","223.606","223.606"
"525.561230684","57.81","57.81","57.81","61.634","61.634","61.634","58.722","58.722","58.722","179.004","179.004","179.004"
"540.563469214","57.696","57.696","57.696","61.536","61.536","61.536","58.836","58.836","58.836","173.446","173.446","173.446"
"555.567758329","57.788","57.788","57.788","61.537","61.537","61.537","58.716","58.716","58.716","203.695","203.695","203.695"
"571.024747535","57.696","57.696","57.696","61.748","61.748","61.748","58.927","58.927","58.927","193.71","193.71","193.71"
"585.568107529","57.825","57.825","57.825","61.732","61.732","61.732","58.704","58.704","58.704","207.632","207.632","207.632"
"600.564847659","57.691","57.691","57.691","61.519","61.519","61.519","58.911","58.911","58.911","233.726","233.726","233.726"
"615.58297333","57.707","57.707","57.707","61.617","61.617","61.617","58.738","58.738","58.738","175.764","175.764","175.764"
"630.943666193","57.713","57.713","57.713","61.536","61.536","61.536","59.224","59.224","59.224","195.655","195.655","195.655"
"646.42193442","58.193","58.193","58.193","61.732","61.732","61.732","59.014","59.014","59.014","213.79","213.79","213.79"
"660.561424089","57.723","57.723","57.723","61.634","61.634","61.634","58.755","58.755","58.755","155.171","155.171","155.171"
"675.564119786","57.885","57.885","57.885","61.439","61.439","61.439","58.814","58.814","58.814","230.682","230.682","230.682"
"690.631587151","57.615","57.615","57.615","61.634","61.634","61.634","58.723","58.723","58.723","191.872","191.872","191.872"
"706.184011494","57.133","57.133","57.133","61.828","61.828","61.828","58.927","58.927","58.927","219.523","219.523","219.523"
"720.571585363","57.118","57.118","57.118","61.525","61.525","61.525","58.852","58.852","58.852","182.074","182.074","182.074"
"736.478107589","43.727","43.727","43.727","41.762","41.762","41.762","36.987","36.987","36.987","247.368","247.368","247.368"
"751.589165985","43.635","43.635","43.635","61.439","61.439","61.439","58.561","58.561","58.561","118.142","118.142","118.142"
"765.565652174","57.421","57.421","57.421","51.204","51.204","51.204","46.352","46.352","46.352","219.789","219.789","219.789"
"780.573416456","43.356","43.356","43.356","49.541","49.541","49.541","50.078","50.078","50.078","194.515","194.515","194.515"
"795.572247817","52.665","52.665","52.665","149.111","149.111","149.111","54.18","54.18","54.18","221.777","221.777","221.777"
"810.655381559","143.878","143.878","143.878","148.157","148.157","148.157","147.897","147.897","147.897","230.471","230.471","230.471"
"826.272448117","149.998","149.998","149.998","152.141","152.141","152.141","113.977","113.977","113.977","227.181","227.181","227.181"
"841.836072772","150.088","150.088","150.088","158.711","158.711","158.711","155.586","155.586","155.586","265.322","265.322","265.322"
"855.57188186","152.11","152.11","152.11","142.382","142.382","142.382","146.916","146.916","146.916","207.607","207.607","207.607"
"870.568576494","152.062","152.062","152.062","153.758","153.758","153.758","148.04","148.04","148.04","201.358","201.358","201.358"
"885.57078056","33.7","33.7","33.7","37.722","37.722","37.722","35.131","35.131","35.131","207.289","207.289","207.289"
"900.559854484","58.594","58.594","58.594","63.771","63.771","63.771","59.977","59.977","59.977","213.032","213.032","213.032"
"915.564048852","59.886","59.886","59.886","62.727","62.727","62.727","60.588","60.588","60.588","213.028","213.028","213.028"
"930.573788898","33.395","33.395","33.395","34.375","34.375","34.375","32.473","32.473","32.473","254.867","254.867","254.867"
"945.57521741","33.104","33.104","33.104","63.406","63.406","63.406","32.279","32.279","32.279","253.777","253.777","253.777"
"960.569374596","51.017","51.017","51.017","55.346","55.346","55.346","31.883","31.883","31.883","231.421","231.421","231.421"
"975.577947193","239.6","239.6","239.6","251.858","251.858","251.858","31.574","31.574","31.574","222.681","222.681","222.681"
"990.581989265","234.384","234.384","234.384","245.494","245.494","245.494","31.574","31.574","31.574","185.939","185.939","185.939"
"1005.573711826","33.991","33.991","33.991","35.555","35.555","35.555","31.592","31.592","31.592","226.734","226.734","226.734"
"1020.57407516","59.405","59.405","59.405","36.842","36.842","36.842","31.49","31.49","31.49","203.646","203.646","203.646"
"1035.566828914","252.183","252.183","252.183","62.696","62.696","62.696","31.38","31.38","31.38","223.396","223.396","223.396"
"1050.569188311","213.716","213.716","213.716","219.393","219.393","219.393","31.186","31.186","31.186","217.02","217.02","217.02"
"1065.569558718","203.837","203.837","203.837","207.423","207.423","207.423","31.582","31.582","31.582","194.663","194.663","194.663"
"1080.573495933","245.556","245.556","245.556","230.164","230.164","230.164","31.56","31.56","31.56","246.692","246.692","246.692"
"1095.569596534","219.723","219.723","219.723","242.008","242.008","242.008","31.478","31.478","31.478","196.629","196.629","196.629"
"1110.572505501","34.782","34.782","34.782","37.722","37.722","37.722","31.574","31.574","31.574","226.304","226.304","226.304"
"1125.576410776","34.489","34.489","34.489","36.446","36.446","36.446","31.567","31.567","31.567","249.635","249.635","249.635"
"1140.571666202","51.314","51.314","51.314","35.644","35.644","35.644","31.288","31.288","31.288","216.434","216.434","216.434"
"1155.571608276","50.925","50.925","50.925","34.68","34.68","34.68","31.378","31.378","31.378","238.138","238.138","238.138"
"1170.576823708","50.674","50.674","50.674","34.482","34.482","34.482","31.38","31.38","31.38","231.717","231.717","231.717"
"1185.571836408","103.809","103.809","103.809","34.27","34.27","34.27","31.385","31.385","31.385","183.146","183.146","183.146"
"1200.571463972","50.899","50.899","50.899","33.889","33.889","33.889","31.281","31.281","31.281","244.841","244.841","244.841"
"1215.573227131","53.765","53.765","53.765","33.694","33.694","33.694","31.385","31.385","31.385","196.106","196.106","196.106"
"1230.572596842","51.897","51.897","51.897","33.589","33.589","33.589","31.198","31.198","31.198","192.443","192.443","192.443"
"1245.575911369","53.78","53.78","53.78","33.104","33.104","33.104","31.191","31.191","31.191","207.222","207.222","207.222"
"1260.576292276","51.508","51.508","51.508","33.099","33.099","33.099","31.283","31.283","31.283","239.023","239.023","239.023"
"1275.577207965","35.462","35.462","35.462","33.001","33.001","33.001","31.288","31.288","31.288","240.718","240.718","240.718"
"1290.571074527","52.712","52.712","52.712","32.904","32.904","32.904","31.191","31.191","31.191","172.602","172.602","172.602"
"1305.576860519","54.169","54.169","54.169","32.891","32.891","32.891","31.198","31.198","31.198","183.505","183.505","183.505"
"1320.572675564","32.702","32.702","32.702","32.697","32.697","32.697","31.101","31.101","31.101","178.711","178.711","178.711"
"1335.564666438","32.808","32.808","32.808","60.667","60.667","60.667","57.372","57.372","57.372","127.63","127.63","127.63"
"1350.574762492","69.774","69.774","69.774","77.364","77.364","77.364","70.34","70.34","70.34","153.122","153.122","153.122"
"1365.575626825","266.726","266.726","266.726","254.396","254.396","254.396","256.013","256.013","256.013","224.871","224.871","224.871"
"1380.57028494","251.007","251.007","251.007","263.76","263.76","263.76","242.057","242.057","242.057","246.182","246.182","246.182"
"1395.561999877","58.886","58.886","58.886","63.389","63.389","63.389","61.246","61.246","61.246","243.039","243.039","243.039"
"1410.56493343","58.302","58.302","58.302","62.502","62.502","62.502","60.458","60.458","60.458","250.616","250.616","250.616"
"1425.573096049","33.404","33.404","33.404","34.278","34.278","34.278","32.103","32.103","32.103","160.386","160.386","160.386"
"1440.572346065","33.307","33.307","33.307","33.978","33.978","33.978","31.988","31.988","31.988","171.328","171.328","171.328"
"1455.575668738","211.671","211.671","211.671","33.469","33.469","33.469","31.669","31.669","31.669","242.589","242.589","242.589"
