"Relative Time (Process)","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.0.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.0.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.0.powerWatts__MAX","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.1.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.1.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.1.powerWatts__MAX","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.2.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.2.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.2.powerWatts__MAX","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.3.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.3.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.3.powerWatts__MAX"
"15.639247641","58.503","58.503","58.503","61.634","61.634","61.634","52.181","52.181","52.181","62.668","62.668","62.668"
"30.892338783","58.518","58.518","58.518","61.732","61.732","61.732","60.177","60.177","60.177","246.207","246.207","246.207"
"45.762601004","57.826","57.826","57.826","61.634","61.634","61.634","60.721","60.721","60.721","125.841","125.841","125.841"
"60.751596872","57.826","57.826","57.826","61.65","61.65","61.65","54.133","54.133","54.133","123.557","123.557","123.557"
"75.650811875","58.503","58.503","58.503","61.634","61.634","61.634","213.063","213.063","213.063","141.807","141.807","141.807"
"90.59979378","57.923","57.923","57.923","61.634","61.634","61.634","238.567","238.567","238.567","69.057","69.057","69.057"
"105.548642175","57.923","57.923","57.923","61.65","61.65","61.65","54.633","54.633","54.633","146.504","146.504","146.504"
"120.586356979","58.517","58.517","58.517","61.634","61.634","61.634","53.067","53.067","53.067","144.925","144.925","144.925"
"135.546219316","58.323","58.323","58.323","61.65","61.65","61.65","54.522","54.522","54.522","132.379","132.379","132.379"
"151.425488458","58.794","58.794","58.794","61.955","61.955","61.955","63.171","63.171","63.171","142.408","142.408","142.408"
"166.327514944","58.772","58.772","58.772","61.829","61.829","61.829","61.304","61.304","61.304","145.153","145.153","145.153"
"181.232191328","58.02","58.02","58.02","62.052","62.052","62.052","61.801","61.801","61.801","128.683","128.683","128.683"
"196.1322001","58.517","58.517","58.517","61.955","61.955","61.955","61.801","61.801","61.801","137.107","137.107","137.107"
"211.011542509","58.517","58.517","58.517","61.846","61.846","61.846","61.704","61.704","61.704","142.647","142.647","142.647"
"225.91532114","57.885","57.885","57.885","61.748","61.748","61.748","76.622","76.622","76.622","98.781","98.781","98.781"
"240.873176404","57.826","57.826","57.826","61.714","61.714","61.714","67.29","67.29","67.29","134.196","134.196","134.196"
"255.910857765","57.885","57.885","57.885","61.748","61.748","61.748","62.56","62.56","62.56","132.904","132.904","132.904"
"270.854391133","58.42","58.42","58.42","61.748","61.748","61.748","61.594","61.594","61.594","140.871","140.871","140.871"
"285.773106262","57.906","57.906","57.906","61.846","61.846","61.846","61.109","61.109","61.109","142.465","142.465","142.465"
"300.713944276","57.923","57.923","57.923","62.035","62.035","62.035","55.587","55.587","55.587","66.431","66.431","66.431"
"315.636258745","58.697","58.697","58.697","62.035","62.035","62.035","55.696","55.696","55.696","132.766","132.766","132.766"
"330.65231734","57.987","57.987","57.987","62.052","62.052","62.052","55.214","55.214","55.214","132.85","132.85","132.85"
"345.720252903","58.713","58.713","58.713","62.132","62.132","62.132","55.505","55.505","55.505","109.984","109.984","109.984"
"360.544094278","58.198","58.198","58.198","62.326","62.326","62.326","55.49","55.49","55.49","80.888","80.888","80.888"
