experiment,accuracy
3_open_ai_test_4o-mini,0.7114020731042008
4_open_ai_test_4o,0.7877795962902346
6_open_ai_test-o3-mini,0.7637752318603382
7_open_ai_test_ft_4o_mini,0.9345335515548282
finetune_lora_master_thesis_tucanobr_2b4_ft_v1,0.0
gemma3_12b_it_baseline_v2,0.762684124386252
gemma3_1b_it_baseline,0.0
gemma3_27b_it_baseline_v2,0.8199672667757774
llama_3.1_8b_baseline,0.7354064375340971
llama_3.2_3B_ft_unsloth_2025-04-13_17-52-07,0.7839607201309329
llama_3.2_3b_baseline,0.5422804146208402
open_ai_test_gpt-4.1-2025-04-14,0.7545008183306056
open_ai_test_gpt-4.1-nano,0.6590289143480633
open_ai_test_gpt4.1mini,0.6966721222040371
phi4_4b_baseline_unsloth,0.7474086197490453
phi4_4b_finetune_unsloth,0.9279869067103109
unsloth_ft_lora_master_thesis_lawma8b_ft_v1,0.0
