Starting fine-tuning....
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 186 | Num Epochs = 10 | Total steps = 460
O^O/ \_/ \    Batch size per device = 1 | Gradient accumulation steps = 4
\        /    Data Parallel GPUs = 1 | Total batch size (1 x 4 x 1) = 4
 "-____-"     Trainable parameters = 39,976,960/6,778,392,576 (0.59% trained)
  0%|                                                                                                                                                               | 0/460 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Unsloth: Will smartly offload gradients to save VRAM!
 22%|████████████████████████████████▍                                                                                                                    | 100/460 [03:14<36:04,  6.01s/it]Unsloth: Not an error, but LlamaForCausalLM does not accept `num_items_in_batch`.
{'loss': 3.6869, 'grad_norm': 0.693884015083313, 'learning_rate': 1.6263736263736265e-05, 'epoch': 1.97}
{'loss': 4.238, 'grad_norm': 0.7395254373550415, 'learning_rate': 1.621978021978022e-05, 'epoch': 1.99}
{'loss': 9.0687, 'grad_norm': 1.9402216672897339, 'learning_rate': 1.6175824175824176e-05, 'epoch': 2.02}
{'loss': 3.8041, 'grad_norm': 0.7033584713935852, 'learning_rate': 1.6131868131868135e-05, 'epoch': 2.04}
{'loss': 3.7632, 'grad_norm': 0.6822394728660583, 'learning_rate': 1.608791208791209e-05, 'epoch': 2.06}
{'loss': 4.3327, 'grad_norm': 1.0306471586227417, 'learning_rate': 1.6043956043956047e-05, 'epoch': 2.09}
{'loss': 3.761, 'grad_norm': 0.674531102180481, 'learning_rate': 1.6000000000000003e-05, 'epoch': 2.11}
{'loss': 3.933, 'grad_norm': 0.7021879553794861, 'learning_rate': 1.595604395604396e-05, 'epoch': 2.13}
{'loss': 3.8016, 'grad_norm': 0.7040327191352844, 'learning_rate': 1.591208791208791e-05, 'epoch': 2.15}
{'loss': 4.2803, 'grad_norm': 0.876564621925354, 'learning_rate': 1.586813186813187e-05, 'epoch': 2.17}
Using gradient accumulation will be very slightly less accurate.
Read more on gradient accumulation issues here: https://unsloth.ai/blog/gradient
                                                                                                                                                                                            
                                                                                                                                                                                            
{'eval_loss': 3.8341476917266846, 'eval_runtime': 52.7598, 'eval_samples_per_second': 0.625, 'eval_steps_per_second': 0.625, 'epoch': 2.17}
{'loss': 3.6641, 'grad_norm': 0.6674536466598511, 'learning_rate': 1.5824175824175826e-05, 'epoch': 2.19}
{'loss': 3.8344, 'grad_norm': 0.6482590436935425, 'learning_rate': 1.578021978021978e-05, 'epoch': 2.22}
{'loss': 3.7608, 'grad_norm': 0.6564432382583618, 'learning_rate': 1.5736263736263737e-05, 'epoch': 2.24}
{'loss': 3.6509, 'grad_norm': 0.6724386215209961, 'learning_rate': 1.5692307692307693e-05, 'epoch': 2.26}
{'loss': 3.4941, 'grad_norm': 0.6510093212127686, 'learning_rate': 1.564835164835165e-05, 'epoch': 2.28}
{'loss': 3.5909, 'grad_norm': 0.6363039016723633, 'learning_rate': 1.5604395604395605e-05, 'epoch': 2.3}
{'loss': 3.7719, 'grad_norm': 0.6372878551483154, 'learning_rate': 1.556043956043956e-05, 'epoch': 2.32}
{'loss': 4.3166, 'grad_norm': 1.0643707513809204, 'learning_rate': 1.551648351648352e-05, 'epoch': 2.34}
{'loss': 4.2905, 'grad_norm': 1.0622016191482544, 'learning_rate': 1.5472527472527476e-05, 'epoch': 2.37}
{'loss': 3.4476, 'grad_norm': 0.6002814173698425, 'learning_rate': 1.542857142857143e-05, 'epoch': 2.39}
{'eval_loss': 3.6468706130981445, 'eval_runtime': 58.2262, 'eval_samples_per_second': 0.567, 'eval_steps_per_second': 0.567, 'epoch': 2.39}
{'loss': 3.653, 'grad_norm': 0.6085147857666016, 'learning_rate': 1.5384615384615387e-05, 'epoch': 2.41}
{'loss': 4.7364, 'grad_norm': 2.9555535316467285, 'learning_rate': 1.5340659340659343e-05, 'epoch': 2.43}
{'loss': 3.5857, 'grad_norm': 0.5891289114952087, 'learning_rate': 1.5296703296703295e-05, 'epoch': 2.45}
{'loss': 3.6351, 'grad_norm': 0.6125920414924622, 'learning_rate': 1.5252747252747253e-05, 'epoch': 2.47}
{'loss': 3.7069, 'grad_norm': 0.5729172825813293, 'learning_rate': 1.5208791208791209e-05, 'epoch': 2.49}
{'loss': 3.8051, 'grad_norm': 0.5752657055854797, 'learning_rate': 1.5164835164835166e-05, 'epoch': 2.52}
{'loss': 3.4757, 'grad_norm': 0.5565939545631409, 'learning_rate': 1.5120879120879122e-05, 'epoch': 2.54}
{'loss': 3.3851, 'grad_norm': 0.5896879434585571, 'learning_rate': 1.5076923076923078e-05, 'epoch': 2.56}
{'loss': 3.8407, 'grad_norm': 0.6076867580413818, 'learning_rate': 1.5032967032967034e-05, 'epoch': 2.58}
{'loss': 3.6341, 'grad_norm': 0.6443278193473816, 'learning_rate': 1.4989010989010991e-05, 'epoch': 2.6}
