Starting fine-tuning....
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 186 | Num Epochs = 10 | Total steps = 460
O^O/ \_/ \    Batch size per device = 1 | Gradient accumulation steps = 4
\        /    Data Parallel GPUs = 1 | Total batch size (1 x 4 x 1) = 4
 "-____-"     Trainable parameters = 65,536,000/4,000,000,000 (1.64% trained)
  2%|███▏                                                                                                                                               | 10/460 [03:01<2:12:14, 17.63s/it]Unsloth: Not an error, but LlamaForCausalLM does not accept `num_items_in_batch`.
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.2458, 'grad_norm': 0.15911291539669037, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 0.2155, 'grad_norm': 0.18020369112491608, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.04}
{'loss': 0.1758, 'grad_norm': 0.17494672536849976, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.06}
{'loss': 0.2294, 'grad_norm': 0.1738768368959427, 'learning_rate': 1.2e-05, 'epoch': 0.09}
{'loss': 0.1693, 'grad_norm': 0.17201794683933258, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.11}
{'loss': 0.188, 'grad_norm': 0.17437124252319336, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 0.1849, 'grad_norm': 0.20538179576396942, 'learning_rate': 1.9956043956043957e-05, 'epoch': 0.15}
{'loss': 0.1839, 'grad_norm': 0.1622738391160965, 'learning_rate': 1.9912087912087913e-05, 'epoch': 0.17}
{'loss': 0.1655, 'grad_norm': 0.17143233120441437, 'learning_rate': 1.986813186813187e-05, 'epoch': 0.19}
{'loss': 0.177, 'grad_norm': 0.1905025839805603, 'learning_rate': 1.9824175824175825e-05, 'epoch': 0.22}
Using gradient accumulation will be very slightly less accurate.
Read more on gradient accumulation issues here: https://unsloth.ai/blog/gradient
                                                                                                                                                                                           
                                                                                                                                                                                           
{'eval_loss': 0.18522775173187256, 'eval_runtime': 44.065, 'eval_samples_per_second': 0.749, 'eval_steps_per_second': 0.749, 'epoch': 0.22}
{'loss': 0.1486, 'grad_norm': 0.340533971786499, 'learning_rate': 1.9780219780219784e-05, 'epoch': 0.24}
{'loss': 0.1589, 'grad_norm': 0.18747952580451965, 'learning_rate': 1.973626373626374e-05, 'epoch': 0.26}
{'loss': 0.15, 'grad_norm': 0.1989700198173523, 'learning_rate': 1.9692307692307696e-05, 'epoch': 0.28}
{'loss': 0.1564, 'grad_norm': 0.1865542232990265, 'learning_rate': 1.9648351648351648e-05, 'epoch': 0.3}
{'loss': 0.1408, 'grad_norm': 0.19801484048366547, 'learning_rate': 1.9604395604395604e-05, 'epoch': 0.32}
{'loss': 0.1594, 'grad_norm': 0.2048894315958023, 'learning_rate': 1.9560439560439563e-05, 'epoch': 0.34}
{'loss': 0.1503, 'grad_norm': 0.1867181956768036, 'learning_rate': 1.951648351648352e-05, 'epoch': 0.37}
{'loss': 0.1387, 'grad_norm': 0.19528235495090485, 'learning_rate': 1.9472527472527475e-05, 'epoch': 0.39}
{'loss': 0.0936, 'grad_norm': 0.16980904340744019, 'learning_rate': 1.942857142857143e-05, 'epoch': 0.41}
{'loss': 0.1098, 'grad_norm': 0.16454528272151947, 'learning_rate': 1.9384615384615386e-05, 'epoch': 0.43}
{'eval_loss': 0.1204446405172348, 'eval_runtime': 44.1167, 'eval_samples_per_second': 0.748, 'eval_steps_per_second': 0.748, 'epoch': 0.43}
{'loss': 0.0943, 'grad_norm': 0.15072676539421082, 'learning_rate': 1.9340659340659342e-05, 'epoch': 0.45}
{'loss': 0.0867, 'grad_norm': 0.15549950301647186, 'learning_rate': 1.9296703296703298e-05, 'epoch': 0.47}
{'loss': 0.0854, 'grad_norm': 0.15231239795684814, 'learning_rate': 1.9252747252747254e-05, 'epoch': 0.49}
{'loss': 0.115, 'grad_norm': 0.1583804488182068, 'learning_rate': 1.920879120879121e-05, 'epoch': 0.52}
{'loss': 0.0957, 'grad_norm': 0.15759937465190887, 'learning_rate': 1.916483516483517e-05, 'epoch': 0.54}
{'loss': 0.0736, 'grad_norm': 0.143548384308815, 'learning_rate': 1.9120879120879124e-05, 'epoch': 0.56}
{'loss': 0.1332, 'grad_norm': 0.1824863851070404, 'learning_rate': 1.907692307692308e-05, 'epoch': 0.58}
{'loss': 0.1163, 'grad_norm': 0.18990415334701538, 'learning_rate': 1.9032967032967033e-05, 'epoch': 0.6}
{'loss': 0.1043, 'grad_norm': 0.16664855182170868, 'learning_rate': 1.8989010989010988e-05, 'epoch': 0.62}
{'loss': 0.0617, 'grad_norm': 0.12836293876171112, 'learning_rate': 1.8945054945054947e-05, 'epoch': 0.65}
{'eval_loss': 0.066469207406044, 'eval_runtime': 44.1183, 'eval_samples_per_second': 0.748, 'eval_steps_per_second': 0.748, 'epoch': 0.65}
{'loss': 0.043, 'grad_norm': 0.11062348634004593, 'learning_rate': 1.8901098901098903e-05, 'epoch': 0.67}
{'loss': 0.0714, 'grad_norm': 0.10519688576459885, 'learning_rate': 1.885714285714286e-05, 'epoch': 0.69}
{'loss': 0.0859, 'grad_norm': 0.1337108016014099, 'learning_rate': 1.8813186813186815e-05, 'epoch': 0.71}
{'loss': 0.1151, 'grad_norm': 0.16250364482402802, 'learning_rate': 1.876923076923077e-05, 'epoch': 0.73}
{'loss': 0.0587, 'grad_norm': 0.1370968371629715, 'learning_rate': 1.8725274725274726e-05, 'epoch': 0.75}
{'loss': 0.0656, 'grad_norm': 0.09224869310855865, 'learning_rate': 1.8681318681318682e-05, 'epoch': 0.77}
{'loss': 0.0535, 'grad_norm': 0.07989029586315155, 'learning_rate': 1.8637362637362638e-05, 'epoch': 0.8}
{'loss': 0.0417, 'grad_norm': 0.11733932048082352, 'learning_rate': 1.8593406593406594e-05, 'epoch': 0.82}
{'loss': 0.0488, 'grad_norm': 0.10869717597961426, 'learning_rate': 1.8549450549450553e-05, 'epoch': 0.84}
{'loss': 0.0427, 'grad_norm': 0.07304098457098007, 'learning_rate': 1.850549450549451e-05, 'epoch': 0.86}
{'eval_loss': 0.05406862497329712, 'eval_runtime': 44.1798, 'eval_samples_per_second': 0.747, 'eval_steps_per_second': 0.747, 'epoch': 0.86}
{'loss': 0.0495, 'grad_norm': 0.11529379338026047, 'learning_rate': 1.8461538461538465e-05, 'epoch': 0.88}
