Starting training....
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 3
   \\   /|    Num examples = 186 | Num Epochs = 10 | Total steps = 460
O^O/ \_/ \    Batch size per device = 1 | Gradient accumulation steps = 4
\        /    Data Parallel GPUs = 1 | Total batch size (1 x 4 x 1) = 4
 "-____-"     Trainable parameters = 24,313,856/3,000,000,000 (0.81% trained)
  2%|██▋                                                                                                                           | 10/460 [01:11<45:04,  6.01s/it]Unsloth: Not an error, but LlamaForCausalLM does not accept `num_items_in_batch`.
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.2435, 'grad_norm': 0.21861974895000458, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 0.2302, 'grad_norm': 0.2835455536842346, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.04}
{'loss': 0.1839, 'grad_norm': 0.25225532054901123, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.06}
{'loss': 0.2222, 'grad_norm': 0.23018598556518555, 'learning_rate': 1.2e-05, 'epoch': 0.09}
{'loss': 0.2224, 'grad_norm': 0.28946104645729065, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.11}
{'loss': 1.9053, 'grad_norm': 1.2565932273864746, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 0.2472, 'grad_norm': 0.3025381863117218, 'learning_rate': 1.9956043956043957e-05, 'epoch': 0.15}
{'loss': 1.8973, 'grad_norm': 1.5342161655426025, 'learning_rate': 1.9912087912087913e-05, 'epoch': 0.17}
{'loss': 1.4552, 'grad_norm': 2.207578659057617, 'learning_rate': 1.986813186813187e-05, 'epoch': 0.19}
{'loss': 0.2091, 'grad_norm': 0.2837636172771454, 'learning_rate': 1.9824175824175825e-05, 'epoch': 0.22}
Using gradient accumulation will be very slightly less accurate.
Read more on gradient accumulation issues here: https://unsloth.ai/blog/gradient
                                                                                                                                                                    
                                                                                                                                                                    
{'eval_loss': 0.9993124008178711, 'eval_runtime': 19.0566, 'eval_samples_per_second': 1.732, 'eval_steps_per_second': 1.732, 'epoch': 0.22}
{'loss': 1.1025, 'grad_norm': 1.4587697982788086, 'learning_rate': 1.9780219780219784e-05, 'epoch': 0.24}
{'loss': 0.2138, 'grad_norm': 0.28764697909355164, 'learning_rate': 1.973626373626374e-05, 'epoch': 0.26}
{'loss': 0.2038, 'grad_norm': 0.29601985216140747, 'learning_rate': 1.9692307692307696e-05, 'epoch': 0.28}
{'loss': 0.1982, 'grad_norm': 0.2805591821670532, 'learning_rate': 1.9648351648351648e-05, 'epoch': 0.3}
{'loss': 0.1935, 'grad_norm': 0.2710936963558197, 'learning_rate': 1.9604395604395604e-05, 'epoch': 0.32}
{'loss': 0.2022, 'grad_norm': 0.24682167172431946, 'learning_rate': 1.9560439560439563e-05, 'epoch': 0.34}
{'loss': 0.4712, 'grad_norm': 0.993404746055603, 'learning_rate': 1.951648351648352e-05, 'epoch': 0.37}
{'loss': 1.2163, 'grad_norm': 2.0166709423065186, 'learning_rate': 1.9472527472527475e-05, 'epoch': 0.39}
{'loss': 0.1619, 'grad_norm': 0.2675584554672241, 'learning_rate': 1.942857142857143e-05, 'epoch': 0.41}
{'loss': 0.1726, 'grad_norm': 0.23041364550590515, 'learning_rate': 1.9384615384615386e-05, 'epoch': 0.43}
{'eval_loss': 0.932307243347168, 'eval_runtime': 19.8276, 'eval_samples_per_second': 1.664, 'eval_steps_per_second': 1.664, 'epoch': 0.43}
{'loss': 2.2884, 'grad_norm': 3.03576922416687, 'learning_rate': 1.9340659340659342e-05, 'epoch': 0.45}
{'loss': 0.1727, 'grad_norm': 0.24690130352973938, 'learning_rate': 1.9296703296703298e-05, 'epoch': 0.47}
{'loss': 0.1509, 'grad_norm': 0.23352399468421936, 'learning_rate': 1.9252747252747254e-05, 'epoch': 0.49}
{'loss': 0.1784, 'grad_norm': 0.21245399117469788, 'learning_rate': 1.920879120879121e-05, 'epoch': 0.52}
{'loss': 0.1811, 'grad_norm': 0.2336014062166214, 'learning_rate': 1.916483516483517e-05, 'epoch': 0.54}
{'loss': 0.1641, 'grad_norm': 0.24763613939285278, 'learning_rate': 1.9120879120879124e-05, 'epoch': 0.56}
{'loss': 0.1912, 'grad_norm': 0.21457122266292572, 'learning_rate': 1.907692307692308e-05, 'epoch': 0.58}
{'loss': 0.1776, 'grad_norm': 0.221620112657547, 'learning_rate': 1.9032967032967033e-05, 'epoch': 0.6}
{'loss': 0.2479, 'grad_norm': 0.5930547118186951, 'learning_rate': 1.8989010989010988e-05, 'epoch': 0.62}
{'loss': 0.26, 'grad_norm': 0.7395643591880798, 'learning_rate': 1.8945054945054947e-05, 'epoch': 0.65}
{'eval_loss': 0.8393145799636841, 'eval_runtime': 18.2358, 'eval_samples_per_second': 1.81, 'eval_steps_per_second': 1.81, 'epoch': 0.65}
{'loss': 1.3836, 'grad_norm': 3.132957935333252, 'learning_rate': 1.8901098901098903e-05, 'epoch': 0.67}
{'loss': 0.1549, 'grad_norm': 0.21885421872138977, 'learning_rate': 1.885714285714286e-05, 'epoch': 0.69}
{'loss': 0.1704, 'grad_norm': 0.21489156782627106, 'learning_rate': 1.8813186813186815e-05, 'epoch': 0.71}
{'loss': 0.1857, 'grad_norm': 0.2258947789669037, 'learning_rate': 1.876923076923077e-05, 'epoch': 0.73}
{'loss': 1.3913, 'grad_norm': 3.0940322875976562, 'learning_rate': 1.8725274725274726e-05, 'epoch': 0.75}
{'loss': 0.1462, 'grad_norm': 0.24163661897182465, 'learning_rate': 1.8681318681318682e-05, 'epoch': 0.77}
{'loss': 0.1434, 'grad_norm': 0.22210557758808136, 'learning_rate': 1.8637362637362638e-05, 'epoch': 0.8}
{'loss': 0.1191, 'grad_norm': 0.219674214720726, 'learning_rate': 1.8593406593406594e-05, 'epoch': 0.82}
{'loss': 0.1282, 'grad_norm': 0.21147005259990692, 'learning_rate': 1.8549450549450553e-05, 'epoch': 0.84}
{'loss': 0.1225, 'grad_norm': 0.2184072732925415, 'learning_rate': 1.850549450549451e-05, 'epoch': 0.86}
{'eval_loss': 0.7355337738990784, 'eval_runtime': 19.1335, 'eval_samples_per_second': 1.725, 'eval_steps_per_second': 1.725, 'epoch': 0.86}
{'loss': 0.1253, 'grad_norm': 0.2191883772611618, 'learning_rate': 1.8461538461538465e-05, 'epoch': 0.88}
{'loss': 2.8667, 'grad_norm': 4.266060829162598, 'learning_rate': 1.8417582417582417e-05, 'epoch': 0.9}
{'loss': 0.8685, 'grad_norm': 1.8620989322662354, 'learning_rate': 1.8373626373626373e-05, 'epoch': 0.92}
{'loss': 0.1246, 'grad_norm': 0.23014669120311737, 'learning_rate': 1.8329670329670332e-05, 'epoch': 0.95}
{'loss': 0.1347, 'grad_norm': 0.21966874599456787, 'learning_rate': 1.8285714285714288e-05, 'epoch': 0.97}
{'loss': 0.2569, 'grad_norm': 1.1424894332885742, 'learning_rate': 1.8241758241758244e-05, 'epoch': 0.99}
{'loss': 0.1395, 'grad_norm': 0.27471816539764404, 'learning_rate': 1.81978021978022e-05, 'epoch': 1.0}
{'loss': 0.1062, 'grad_norm': 0.22519280016422272, 'learning_rate': 1.8153846153846155e-05, 'epoch': 1.02}
