experiment,overall_accuracy,boolean,categorical,numeric,open_textual
7_open_ai_test_ft_4o_mini,0.9345335515548282,0.9668174962292609,0.7692307692307693,0.8803418803418803,0.9615384615384616
phi4_4b_finetune_unsloth,0.9279869067103109,0.9419306184012066,0.9179487179487179,0.8504273504273504,0.9487179487179487
gemma3_27b_it_baseline_v2,0.8199672667757774,0.8129713423831071,0.8153846153846154,0.8205128205128205,0.9487179487179487
4_open_ai_test_4o,0.7877795962902346,0.748868778280543,0.8666666666666667,0.8846153846153846,0.9615384615384616
llama_3.2_3B_ft_unsloth_2025-04-13_17-52-07,0.7839607201309329,0.7843137254901961,0.8051282051282052,0.7414529914529915,0.8525641025641025
6_open_ai_test-o3-mini,0.7637752318603382,0.7503770739064857,0.6717948717948717,0.8589743589743589,0.9358974358974359
gemma3_12b_it_baseline_v2,0.762684124386252,0.7722473604826546,0.6615384615384615,0.7350427350427351,0.9358974358974359
open_ai_test_gpt-4.1-2025-04-14,0.7545008183306056,0.7051282051282052,0.8615384615384616,0.8760683760683761,0.9615384615384616
phi4_4b_baseline_unsloth,0.7474086197490453,0.7322775263951734,0.7794871794871795,0.7649572649572649,0.8717948717948718
llama_3.1_8b_baseline,0.7354064375340971,0.7330316742081447,0.6820512820512821,0.7307692307692307,0.9230769230769231
3_open_ai_test_4o-mini,0.7114020731042008,0.6734539969834088,0.8051282051282052,0.7692307692307693,0.9487179487179487
open_ai_test_gpt4.1mini,0.6966721222040371,0.6425339366515838,0.8205128205128205,0.8290598290598291,0.9102564102564102
open_ai_test_gpt-4.1-nano,0.6590289143480633,0.6131221719457014,0.676923076923077,0.8034188034188035,0.9615384615384616
llama_3.2_3b_baseline,0.5422804146208402,0.5829562594268477,0.3282051282051282,0.45726495726495725,0.6410256410256411
gemma3_1b_it_baseline,0.0,0.0,0.0,0.0,0.0
finetune_lora_master_thesis_tucanobr_2b4_ft_v1,0.0,0.0,0.0,0.0,0.0
unsloth_ft_lora_master_thesis_lawma8b_ft_v1,0.0,0.0,0.0,0.0,0.0
