2025-04-25 16:33:06,474 INFO    MainThread:40632 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_setup.py:_flush():67] Configure stats pid to 40632
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_setup.py:_flush():67] Loading settings from /root/.config/wandb/settings
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_setup.py:_flush():67] Loading settings from /workspace/master_thesis/master_thesis/experiments_inference/wandb/settings
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_init.py:setup_run_log_directory():662] Logging user logs to ./hf_tjsp2024_2025_phi4_14B-ft-inferencee/wandb/run-20250425_163306-5kqdi1um/logs/debug.log
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to ./hf_tjsp2024_2025_phi4_14B-ft-inferencee/wandb/run-20250425_163306-5kqdi1um/logs/debug-internal.log
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_init.py:init():781] calling init triggers
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'model': 'rfdornelles/master_thesis_phi4_tb_finetune', 'max_new_tokens': 1000, 'device_map': 'auto', 'batch_size': 1, '_wandb': {}}
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_init.py:init():809] starting backend
2025-04-25 16:33:06,475 INFO    MainThread:40632 [wandb_init.py:init():813] sending inform_init request
2025-04-25 16:33:06,481 INFO    MainThread:40632 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-25 16:33:06,481 INFO    MainThread:40632 [wandb_init.py:init():823] backend started and connected
2025-04-25 16:33:06,482 INFO    MainThread:40632 [wandb_init.py:init():915] updated telemetry
2025-04-25 16:33:06,488 INFO    MainThread:40632 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-25 16:33:07,057 INFO    MainThread:40632 [wandb_init.py:init():1014] starting run threads in backend
2025-04-25 16:33:07,225 INFO    MainThread:40632 [wandb_run.py:_console_start():2454] atexit reg
2025-04-25 16:33:07,226 INFO    MainThread:40632 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-25 16:33:07,226 INFO    MainThread:40632 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-25 16:33:07,226 INFO    MainThread:40632 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-25 16:33:07,228 INFO    MainThread:40632 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-25 16:37:43,886 INFO    MainThread:40632 [wandb_run.py:_finish():2189] finishing run rodornelles-hertie-school/hf_tjsp_drugs_2024_2025_sample/5kqdi1um
2025-04-25 16:37:43,886 INFO    MainThread:40632 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-25 16:37:43,887 INFO    MainThread:40632 [wandb_run.py:_restore():2401] restore
2025-04-25 16:37:43,887 INFO    MainThread:40632 [wandb_run.py:_restore():2407] restore done
2025-04-25 16:37:46,474 INFO    MainThread:40632 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-25 16:37:46,475 INFO    MainThread:40632 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-25 16:37:46,475 INFO    MainThread:40632 [wandb_run.py:_footer_sync_info():4025] logging synced files
