2025-04-18 17:00:17,512 INFO    MainThread:1690858 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_setup.py:_flush():67] Configure stats pid to 1690858
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_setup.py:_flush():67] Loading settings from /root/.config/wandb/settings
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_setup.py:_flush():67] Loading settings from /workspace/master_thesis/master_thesis/experiments_inference/wandb/settings
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /workspace/master_thesis/master_thesis/experiments_inference/wandb/run-20250418_170017-jtbueefp/logs/debug.log
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /workspace/master_thesis/master_thesis/experiments_inference/wandb/run-20250418_170017-jtbueefp/logs/debug-internal.log
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_init.py:init():781] calling init triggers
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'model': '../open_source_models/master_thesis_llama_3.2_3b_ft', 'max_new_tokens': 1000, 'device_map': 'auto', '_wandb': {}}
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_init.py:init():809] starting backend
2025-04-18 17:00:17,513 INFO    MainThread:1690858 [wandb_init.py:init():813] sending inform_init request
2025-04-18 17:00:17,518 INFO    MainThread:1690858 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-18 17:00:17,519 INFO    MainThread:1690858 [wandb_init.py:init():823] backend started and connected
2025-04-18 17:00:17,521 INFO    MainThread:1690858 [wandb_init.py:init():915] updated telemetry
2025-04-18 17:00:17,529 INFO    MainThread:1690858 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-18 17:00:18,028 INFO    MainThread:1690858 [wandb_init.py:init():1014] starting run threads in backend
2025-04-18 17:00:18,195 INFO    MainThread:1690858 [wandb_run.py:_console_start():2454] atexit reg
2025-04-18 17:00:18,196 INFO    MainThread:1690858 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-18 17:00:18,196 INFO    MainThread:1690858 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-18 17:00:18,196 INFO    MainThread:1690858 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-18 17:00:18,198 INFO    MainThread:1690858 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-18 17:00:23,929 INFO    MsgRouterThr:1690858 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
