Starting training....
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 3
   \\   /|    Num examples = 186 | Num Epochs = 10 | Total steps = 460
O^O/ \_/ \    Batch size per device = 1 | Gradient accumulation steps = 4
\        /    Data Parallel GPUs = 1 | Total batch size (1 x 4 x 1) = 4
 "-____-"     Trainable parameters = 3,212,749,824/3,212,749,824 (100.00% trained)
  0%|                                                                                                                                       | 0/460 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Unsloth: Will smartly offload gradients to save VRAM!
  2%|██▋                                                                                                                           | 10/460 [02:11<52:39,  7.02s/it]Unsloth: Not an error, but LlamaModel does not accept `num_items_in_batch`.
{'loss': 0.2366, 'grad_norm': 6.375, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 0.215, 'grad_norm': 7.90625, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.04}
{'loss': 0.1263, 'grad_norm': 5.125, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.06}
{'loss': 0.1335, 'grad_norm': 5.125, 'learning_rate': 1.2e-05, 'epoch': 0.09}
{'loss': 0.0656, 'grad_norm': 4.0625, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.11}
{'loss': 0.0695, 'grad_norm': 2.203125, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 0.0951, 'grad_norm': 3.75, 'learning_rate': 1.9956043956043957e-05, 'epoch': 0.15}
{'loss': 0.0545, 'grad_norm': 1.9453125, 'learning_rate': 1.9912087912087913e-05, 'epoch': 0.17}
{'loss': 0.0249, 'grad_norm': 1.2109375, 'learning_rate': 1.986813186813187e-05, 'epoch': 0.19}
{'loss': 0.0354, 'grad_norm': 1.4453125, 'learning_rate': 1.9824175824175825e-05, 'epoch': 0.22}
Using gradient accumulation will be very slightly less accurate.
Read more on gradient accumulation issues here: https://unsloth.ai/blog/gradient
                                                                                                                                                                    
                                                                                                                                                                    
{'eval_loss': 0.04906366765499115, 'eval_runtime': 19.1888, 'eval_samples_per_second': 1.72, 'eval_steps_per_second': 1.72, 'epoch': 0.22}
{'loss': 0.0146, 'grad_norm': 1.1015625, 'learning_rate': 1.9780219780219784e-05, 'epoch': 0.24}
{'loss': 0.0454, 'grad_norm': 2.140625, 'learning_rate': 1.973626373626374e-05, 'epoch': 0.26}
{'loss': 0.0363, 'grad_norm': 3.515625, 'learning_rate': 1.9692307692307696e-05, 'epoch': 0.28}
{'loss': 0.0444, 'grad_norm': 1.7109375, 'learning_rate': 1.9648351648351648e-05, 'epoch': 0.3}
{'loss': 0.0414, 'grad_norm': 1.6875, 'learning_rate': 1.9604395604395604e-05, 'epoch': 0.32}
{'loss': 0.0335, 'grad_norm': 1.703125, 'learning_rate': 1.9560439560439563e-05, 'epoch': 0.34}
{'loss': 0.0378, 'grad_norm': 2.34375, 'learning_rate': 1.951648351648352e-05, 'epoch': 0.37}
{'loss': 0.0447, 'grad_norm': 1.578125, 'learning_rate': 1.9472527472527475e-05, 'epoch': 0.39}
{'loss': 0.0146, 'grad_norm': 1.1640625, 'learning_rate': 1.942857142857143e-05, 'epoch': 0.41}
{'loss': 0.0343, 'grad_norm': 1.1640625, 'learning_rate': 1.9384615384615386e-05, 'epoch': 0.43}
{'eval_loss': 0.050534434616565704, 'eval_runtime': 12.3046, 'eval_samples_per_second': 2.682, 'eval_steps_per_second': 2.682, 'epoch': 0.43}
{'loss': 0.0221, 'grad_norm': 1.421875, 'learning_rate': 1.9340659340659342e-05, 'epoch': 0.45}
{'loss': 0.0413, 'grad_norm': 2.078125, 'learning_rate': 1.9296703296703298e-05, 'epoch': 0.47}
{'loss': 0.0192, 'grad_norm': 1.015625, 'learning_rate': 1.9252747252747254e-05, 'epoch': 0.49}
{'loss': 0.0355, 'grad_norm': 1.0859375, 'learning_rate': 1.920879120879121e-05, 'epoch': 0.52}
{'loss': 0.0422, 'grad_norm': 0.796875, 'learning_rate': 1.916483516483517e-05, 'epoch': 0.54}
{'loss': 0.0248, 'grad_norm': 0.9609375, 'learning_rate': 1.9120879120879124e-05, 'epoch': 0.56}
{'loss': 0.0623, 'grad_norm': 0.93359375, 'learning_rate': 1.907692307692308e-05, 'epoch': 0.58}
{'loss': 0.0418, 'grad_norm': 1.5625, 'learning_rate': 1.9032967032967033e-05, 'epoch': 0.6}
{'loss': 0.0778, 'grad_norm': 2.453125, 'learning_rate': 1.8989010989010988e-05, 'epoch': 0.62}
{'loss': 0.0221, 'grad_norm': 1.4296875, 'learning_rate': 1.8945054945054947e-05, 'epoch': 0.65}
{'eval_loss': 0.039516646414995193, 'eval_runtime': 12.3512, 'eval_samples_per_second': 2.672, 'eval_steps_per_second': 2.672, 'epoch': 0.65}
{'loss': 0.0309, 'grad_norm': 1.1640625, 'learning_rate': 1.8901098901098903e-05, 'epoch': 0.67}
{'loss': 0.0495, 'grad_norm': 1.34375, 'learning_rate': 1.885714285714286e-05, 'epoch': 0.69}
{'loss': 0.0477, 'grad_norm': 1.5859375, 'learning_rate': 1.8813186813186815e-05, 'epoch': 0.71}
{'loss': 0.0829, 'grad_norm': 1.6171875, 'learning_rate': 1.876923076923077e-05, 'epoch': 0.73}
{'loss': 0.0276, 'grad_norm': 1.078125, 'learning_rate': 1.8725274725274726e-05, 'epoch': 0.75}
{'loss': 0.0352, 'grad_norm': 0.828125, 'learning_rate': 1.8681318681318682e-05, 'epoch': 0.77}
{'loss': 0.0425, 'grad_norm': 0.890625, 'learning_rate': 1.8637362637362638e-05, 'epoch': 0.8}
{'loss': 0.0232, 'grad_norm': 0.6484375, 'learning_rate': 1.8593406593406594e-05, 'epoch': 0.82}
{'loss': 0.0293, 'grad_norm': 1.1171875, 'learning_rate': 1.8549450549450553e-05, 'epoch': 0.84}
{'loss': 0.0344, 'grad_norm': 0.625, 'learning_rate': 1.850549450549451e-05, 'epoch': 0.86}
{'eval_loss': 0.03621625155210495, 'eval_runtime': 12.5206, 'eval_samples_per_second': 2.636, 'eval_steps_per_second': 2.636, 'epoch': 0.86}
{'loss': 0.0299, 'grad_norm': 1.09375, 'learning_rate': 1.8461538461538465e-05, 'epoch': 0.88}
{'loss': 0.0325, 'grad_norm': 1.03125, 'learning_rate': 1.8417582417582417e-05, 'epoch': 0.9}
